contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
223	0	1	0.10882593	0.9634701	0	1	0.35	0.65
224	0	1	0.18060406	0.9729486	0	1	0.286	0.714
225	0	1	0.13261585	0.9821582	0	1	0.332	0.668
226	0	1	0.7215807	0.5542172	0	1	0.324	0.676
227	0	1	0.041627385	0.99088955	0	1	0.378	0.622
228	1	0	0.5156714	0.74134135	0	1	0.208	0.792
229	1	0	0.42666423	0.8801144	0	1	0.159	0.841
230	1	0	0.71080536	0.639803	0	1	0.256	0.744
231	1	0	0.028388595	0.998273	0	1	0.349	0.651
232	0	1	0.6839776	0.49753523	0	1	0.332	0.668
233	0	1	0.685015	0.49656537	0	1	0.345	0.655
234	0	1	0.20812947	0.9550444	0	1	0.392	0.608
235	0	1	0.031592883	0.99843144	0	1	0.234	0.766
236	0	1	0.58197325	0.8323638	0	1	0.248	0.752
237	0	1	0.6484506	0.6645162	0	1	0.375	0.625
238	0	1	0.074418	0.9903295	0	1	0.343	0.657
239	0	1	0.26206833	0.95050013	0	1	0.232	0.768
240	0	1	0.08815253	0.98418	0	1	0.355	0.645
241	0	1	0.02630578	0.99763024	0	1	0.271	0.729
242	0	1	0.04335796	0.99660486	0	1	0.331	0.669
243	0	1	0.048782036	0.99603534	0	1	0.261	0.739
244	0	1	0.6748419	0.5140559	0	1	0.341	0.659
245	0	1	0.6756001	0.51475805	0	1	0.323	0.677
246	0	1	0.60161203	0.6326984	0	1	0.377	0.623
247	0	1	0.6267471	0.6935235	0	1	0.336	0.664
248	1	0	0.09431194	0.9884342	0	1	0.361	0.639
249	0	1	0.510596	0.75437915	0	1	0.363	0.637
250	0	1	0.6768035	0.51534736	0	1	0.357	0.643
251	0	1	0.6760846	0.5149321	0	1	0.297	0.703
252	1	0	0.3960193	0.90450454	0	1	0.362	0.638
253	0	1	0.04063516	0.9972192	0	1	0.36	0.64
254	1	0	0.11415283	0.98609984	0	1	0.399	0.601
255	0	1	0.11217729	0.9642835	0	1	0.313	0.687
256	0	1	0.68640643	0.4981914	0	1	0.372	0.628
257	0	1	0.11331857	0.9636556	0	1	0.297	0.703
258	0	1	0.68690825	0.49728912	0	1	0.383	0.617
259	0	1	0.4608854	0.8382894	0	1	0.34	0.66
260	0	1	0.6653069	0.6475271	0	1	0.329	0.671
261	0	1	0.68038857	0.59477645	0	1	0.444	0.556
262	0	1	0.07524779	0.99288166	0	1	0.289	0.711
263	0	1	0.03512762	0.9969332	0	1	0.254	0.746
264	0	1	0.008246311	0.9997759	0	1	0.328	0.672
265	1	0	0.020516666	0.99891806	0	1	0.294	0.706
266	1	0	0.057713553	0.9966817	0	1	0.384	0.616
267	0	1	0.65347654	0.6605871	0	1	0.327	0.673
268	0	1	0.711076	0.6171876	0	1	0.336	0.664
269	0	1	0.008494753	0.9995779	0	1	0.261	0.739
270	0	1	0.61431974	0.6111905	0	1	0.385	0.615
271	0	1	0.10250827	0.9791827	0	1	0.315	0.685
272	0	1	0.75378317	0.51083803	0	1	0.382	0.618
273	0	1	0.06628545	0.99336636	0	1	0.282	0.718
274	1	0	0.082593486	0.99244624	0	1	0.308	0.692
275	1	0	0.5674579	0.9833285	0	1	0.49	0.51
276	0	1	0.5424036	0.82368267	0	1	0.348	0.652
277	0	1	0.67559886	0.4944796	0	1	0.381	0.619
278	0	1	0.10192526	0.98425025	0	1	0.339	0.661
279	1	0	0.6697809	0.50644964	0	1	0.388	0.612
280	1	0	0.049414802	0.9949185	0	1	0.362	0.638
281	0	1	0.052554533	0.9950608	0	1	0.322	0.678
282	0	1	0.1874112	0.96944475	0	1	0.402	0.598
283	1	0	0.56582123	0.76890016	0	1	0.355	0.645
284	0	1	0.5615777	0.7995994	0	1	0.373	0.627
285	0	1	0.16923934	0.97203755	0	1	0.374	0.626
286	1	0	0.036039773	0.9979687	0	1	0.302	0.698
287	0	1	0.5052811	0.8457248	0	1	0.332	0.668
288	1	0	0.999964	0.036152463	0	1	0.378	0.622
289	0	1	0.6324483	0.6858512	0	1	0.372	0.628
290	1	0	0.020691337	0.9989563	0	1	0.32	0.68
291	0	1	0.64356905	0.6843172	0	1	0.344	0.656
292	1	0	0.17149499	0.9793781	0	1	0.381	0.619
293	0	1	0.009245981	0.9989391	0	1	0.346	0.654
294	0	1	0.14353605	0.9729804	0	1	0.313	0.687
295	1	0	0.07749671	0.9902686	0	1	0.31	0.69
296	0	1	0.6390184	0.5665102	0	1	0.387	0.613
297	0	1	0.116822876	0.960251	0	1	0.303	0.697
298	0	1	0.6354766	0.5748166	0	1	0.383	0.617
299	0	1	0.6088765	0.76233673	0	1	0.381	0.619
300	0	1	0.07499912	0.9906613	0	1	0.34	0.66
301	0	1	0.40301007	0.88807726	0	1	0.423	0.577
302	0	1	0.026227182	0.99834347	0	1	0.321	0.679
303	0	1	0.043629672	0.9950923	0	1	0.12	0.88
304	0	1	0.7502091	0.5100594	0	1	0.344	0.656
305	0	1	0.044665318	0.9874668	0	1	0.365	0.635
306	0	1	0.08570161	0.98479456	0	1	0.325	0.675
307	0	1	0.04449675	0.98750687	0	1	0.339	0.661
308	1	0	0.020970277	0.9970925	0	1	0.373	0.627
309	0	1	0.08024478	0.9906781	0	1	0.364	0.636
310	0	1	0.067727	0.9956649	0	1	0.36	0.64
311	1	0	0.0432038	0.9889064	0	1	0.383	0.617
312	0	1	0.37138498	0.977997	0	1	0.292	0.708
313	1	0	0.06230188	0.994692	0	1	0.383	0.617
314	1	0	0.51792943	0.99139225	0	1	0.368	0.632
315	0	1	0.6421646	0.6125104	0	1	0.363	0.637
316	1	0	0.04537606	0.99505186	0	1	0.373	0.627
317	0	1	0.72887063	0.48396263	0	1	0.402	0.598
318	0	1	0.57051533	0.77057135	0	1	0.324	0.676
319	0	1	0.65883666	0.6235195	0	1	0.407	0.593
320	0	1	0.051145058	0.9956014	0	1	0.395	0.605
321	1	0	0.5039512	0.75950515	0	1	0.405	0.595
322	1	0	0.50700533	0.75682825	0	1	0.421	0.579
323	0	1	0.52805114	0.7374293	0	1	0.443	0.557
324	1	0	0.65314335	0.9732111	0	1	0.307	0.693
325	1	0	0.11075452	0.9799917	0	1	0.395	0.605
326	0	1	0.45310628	0.85006654	0	1	0.394	0.606
327	0	1	0.70082164	0.50664544	0	1	0.41	0.59
328	0	1	0.72625387	0.5675937	0	1	0.384	0.616
329	0	1	0.50359416	0.87438333	0	1	0.389	0.611
330	0	1	0.13964634	0.98105097	0	1	0.338	0.662
331	0	1	0.24606799	0.94801885	0	1	0.437	0.563
332	0	1	0.6665441	0.6092943	0	1	0.36	0.64
333	0	1	0.03828734	0.9943312	0	1	0.395	0.605
334	1	0	0.17661211	0.975582	0	1	0.35	0.65
335	0	1	0.52763414	0.7406627	0	1	0.437	0.563
336	1	0	0.05817513	0.9924966	0	1	0.392	0.608
337	0	1	0.07321972	0.9930047	0	1	0.344	0.656
338	1	0	0.07321365	0.99137723	0	1	0.288	0.712
339	0	1	0.13403516	0.951295	0	1	0.414	0.586
340	1	0	0.13400419	0.95131046	0	1	0.44	0.56
341	1	0	0.050417714	0.99668336	0	1	0.311	0.689
342	1	0	0.01401335	0.9984	0	1	0.309	0.691
343	1	0	0.017817207	0.99936295	0	1	0.308	0.692
344	1	0	0.603093	0.97199905	0	1	0.391	0.609
345	1	0	0.57458967	0.9294499	0	1	0.478	0.522
346	0	1	0.052580144	0.99127704	0	1	0.31	0.69
347	0	1	0.05328826	0.9949739	0	1	0.386	0.614
348	0	1	0.15311156	0.97841525	0	1	0.314	0.686
349	0	1	0.27636784	0.88647723	0	1	0.33	0.67
350	0	1	0.27814594	0.886344	0	1	0.356	0.644
351	0	1	0.046164256	0.99189234	0	1	0.361	0.639
352	0	1	0.04746075	0.9918722	0	1	0.362	0.638
353	0	1	0.5848686	0.6485367	0	1	0.36	0.64
354	0	1	0.0052122716	0.9994956	0	1	0.388	0.612
355	0	1	0.5912401	0.63468003	0	1	0.38	0.62
356	0	1	0.0069347587	0.9994433	0	1	0.353	0.647
357	1	0	0.5	0.5	0	1	0.5	0.5
358	1	0	0.5	0.5	0	1	0.5	0.5
359	0	1	0.5	0.5	0	1	0.5	0.5
360	0	1	0.5	0.5	0	1	0.5	0.5
361	0	1	0.5	0.5	0	1	0.5	0.5
362	0	1	0.5	0.5	0	1	0.5	0.5
363	0	1	0.5	0.5	0	1	0.5	0.5
364	0	1	0.5	0.5	0	1	0.5	0.5
365	1	0	0.5	0.5	0	1	0.5	0.5
366	0	1	0.5	0.5	0	1	0.5	0.5
367	0	1	0.5	0.5	0	1	0.5	0.5
368	1	0	0.5	0.5	0	1	0.5	0.5
369	0	1	0.5	0.5	0	1	0.5	0.5
370	1	0	0.5	0.5	0	1	0.5	0.5
371	1	0	0.5	0.5	0	1	0.5	0.5
372	0	1	0.5	0.5	0	1	0.5	0.5
373	0	1	0.5	0.5	0	1	0.5	0.5
374	0	1	0.5	0.5	0	1	0.5	0.5
375	1	0	0.5	0.5	0	1	0.5	0.5
376	0	1	0.5	0.5	0	1	0.5	0.5
377	0	1	0.5	0.5	0	1	0.5	0.5
378	0	1	0.5	0.5	0	1	0.5	0.5
379	1	0	0.5	0.5	0	1	0.5	0.5
380	0	1	0.5	0.5	0	1	0.5	0.5
381	0	1	0.5	0.5	0	1	0.5	0.5
382	1	0	0.5	0.5	0	1	0.5	0.5
383	1	0	0.5	0.5	0	1	0.5	0.5
384	1	0	0.5	0.5	0	1	0.5	0.5
385	1	0	0.5	0.5	0	1	0.5	0.5
386	0	1	0.5	0.5	0	1	0.5	0.5
387	0	1	0.5	0.5	0	1	0.5	0.5
388	0	1	0.5	0.5	0	1	0.5	0.5
389	1	0	0.5	0.5	0	1	0.5	0.5
390	0	1	0.5	0.5	0	1	0.5	0.5
391	1	0	0.5	0.5	0	1	0.5	0.5
392	0	1	0.5	0.5	0	1	0.5	0.5
393	0	1	0.5	0.5	0	1	0.5	0.5
394	0	1	0.5	0.5	0	1	0.5	0.5
395	1	0	0.5	0.5	0	1	0.5	0.5
396	0	1	0.5	0.5	0	1	0.5	0.5
397	0	1	0.5	0.5	0	1	0.5	0.5
398	0	1	0.5	0.5	0	1	0.5	0.5
399	0	1	0.5	0.5	0	1	0.5	0.5
400	0	1	0.5	0.5	0	1	0.5	0.5
401	0	1	0.5	0.5	0	1	0.5	0.5
402	0	1	0.5	0.5	0	1	0.5	0.5
403	0	1	0.5	0.5	0	1	0.5	0.5
404	0	1	0.5	0.5	0	1	0.5	0.5
405	0	1	0.5	0.5	0	1	0.5	0.5
406	0	1	0.5	0.5	0	1	0.5	0.5
407	1	0	0.5	0.5	0	1	0.5	0.5
408	0	1	0.5	0.5	0	1	0.5	0.5
409	0	1	0.5	0.5	0	1	0.5	0.5
410	0	1	0.5	0.5	0	1	0.5	0.5
411	0	1	0.5	0.5	0	1	0.5	0.5
412	0	1	0.5	0.5	0	1	0.5	0.5
413	0	1	0.5	0.5	0	1	0.5	0.5
414	0	1	0.5	0.5	0	1	0.5	0.5
415	0	1	0.5	0.5	0	1	0.5	0.5
416	0	1	0.5	0.5	0	1	0.5	0.5
417	0	1	0.5	0.5	0	1	0.5	0.5
418	0	1	0.5	0.5	0	1	0.5	0.5
419	0	1	0.5	0.5	0	1	0.5	0.5
420	0	1	0.5	0.5	0	1	0.5	0.5
421	0	1	0.5	0.5	0	1	0.5	0.5
422	0	1	0.5	0.5	0	1	0.5	0.5
423	0	1	0.5	0.5	0	1	0.5	0.5
424	0	1	0.5	0.5	0	1	0.5	0.5
425	0	1	0.5	0.5	0	1	0.5	0.5
426	0	1	0.5	0.5	0	1	0.5	0.5
427	0	1	0.5	0.5	0	1	0.5	0.5
428	0	1	0.5	0.5	0	1	0.5	0.5
429	0	1	0.5	0.5	0	1	0.5	0.5
430	0	1	0.5	0.5	0	1	0.5	0.5
431	0	1	0.5	0.5	0	1	0.5	0.5
432	0	1	0.5	0.5	0	1	0.5	0.5
433	0	1	0.5	0.5	0	1	0.5	0.5
434	0	1	0.5	0.5	0	1	0.5	0.5
435	0	1	0.5	0.5	0	1	0.5	0.5
436	0	1	0.5	0.5	0	1	0.5	0.5
437	0	1	0.5	0.5	0	1	0.5	0.5
438	0	1	0.5	0.5	0	1	0.5	0.5
439	0	1	0.5	0.5	0	1	0.5	0.5
440	0	1	0.5	0.5	0	1	0.5	0.5
441	0	1	0.5	0.5	0	1	0.5	0.5
442	0	1	0.5	0.5	0	1	0.5	0.5
443	0	1	0.5	0.5	0	1	0.5	0.5
444	0	1	0.5	0.5	0	1	0.5	0.5
445	0	1	0.5	0.5	0	1	0.5	0.5
446	0	1	0.5	0.5	0	1	0.5	0.5
447	0	1	0.5	0.5	0	1	0.5	0.5
448	0	1	0.5	0.5	0	1	0.5	0.5
449	0	1	0.5	0.5	0	1	0.5	0.5
450	0	1	0.5	0.5	0	1	0.5	0.5
451	1	0	0.5	0.5	0	1	0.5	0.5
452	1	0	0.5	0.5	0	1	0.5	0.5
453	0	1	0.5	0.5	0	1	0.5	0.5
454	0	1	0.5	0.5	0	1	0.5	0.5
455	0	1	0.5	0.5	0	1	0.5	0.5
456	0	1	0.5	0.5	0	1	0.5	0.5
457	1	0	0.5	0.5	0	1	0.5	0.5
458	1	0	0.5	0.5	0	1	0.5	0.5
459	0	1	0.5	0.5	0	1	0.5	0.5
460	1	0	0.5	0.5	0	1	0.5	0.5
461	0	1	0.5	0.5	0	1	0.5	0.5
462	0	1	0.5	0.5	0	1	0.5	0.5
463	0	1	0.5	0.5	0	1	0.5	0.5
464	1	0	0.5	0.5	0	1	0.5	0.5
465	0	1	0.5	0.5	0	1	0.5	0.5
466	1	0	0.5	0.5	0	1	0.5	0.5
467	0	1	0.5	0.5	0	1	0.5	0.5
468	0	1	0.5	0.5	0	1	0.5	0.5
469	0	1	0.5	0.5	0	1	0.5	0.5
470	1	0	0.5	0.5	0	1	0.5	0.5
471	0	1	0.5	0.5	0	1	0.5	0.5
472	1	0	0.5	0.5	0	1	0.5	0.5
473	1	0	0.5	0.5	0	1	0.5	0.5
474	1	0	0.5	0.5	0	1	0.5	0.5
475	1	0	0.5	0.5	0	1	0.5	0.5
476	1	0	0.5	0.5	0	1	0.5	0.5
477	0	1	0.5	0.5	0	1	0.5	0.5
478	1	0	0.5	0.5	0	1	0.5	0.5
479	1	0	0.5	0.5	0	1	0.5	0.5
480	1	0	0.5	0.5	0	1	0.5	0.5
481	1	0	0.5	0.5	0	1	0.5	0.5
482	1	0	0.5	0.5	0	1	0.5	0.5
483	0	1	0.5	0.5	0	1	0.5	0.5
