contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
62	0	1	0.34793517	0.78081983	1	0	0.794	0.206	0.887986532249724	0.112013467750276	6887
63	1	0	0.857101	0.21239856	1	0	0.874	0.126	0.714751338146002	0.285248661853998	6113
64	0	1	0.23170629	0.8545176	0	1	0.211	0.789	0.0246519190232741	0.975348080976726	5742
65	0	1	0.3090431	0.7810926	0	1	0.217	0.783	0.0253675377374677	0.974632462262532	5568
66	0	1	0.89045715	0.2028963	0	1	0.228	0.772	0.158042815205507	0.841957184794493	5386
67	0	1	0.015599244	0.9920275	0	1	0.084	0.916	0.0624605532327481	0.937539446767252	5236
68	0	1	0.12576583	0.9200278	0	1	0.299	0.701	0.261796639759655	0.738203360240345	5135
69	0	1	0.47167966	0.6996622	0	1	0.248	0.752	0.0558569908262417	0.944143009173758	4919
70	0	1	0.06454938	0.96543795	0	1	0.122	0.878	0.0027422286963925	0.997257771303607	4906
71	0	1	0.65266263	0.5200709	0	1	0.401	0.599	0.073522946849353	0.926477053150647	4599
72	0	1	0.036234427	0.9808228	0	1	0.093	0.907	0.0176607712527262	0.982339228747274	4213
73	1	0	0.043337323	0.98004293	0	1	0.771	0.229	0.704965128617012	0.295034871382988	3703
74	1	0	0.86727285	0.22543876	1	0	0.539	0.461	0.474746539664757	0.525253460335243	3685
75	1	0	0.8213615	0.29169568	1	0	0.692	0.308	0.968531880725985	0.031468119274015	2735
76	1	0	0.12828787	0.99866927	0	1	0.017	0.983	0.118697202423043	0.881302797576957	2581
77	1	0	0.82004595	0.9225018	0	1	0.657	0.343	0.998758084159847	0.0012419158401529	2371
78	1	0	0.8718728	0.2172714	1	0	0.663	0.337	0.183259099951569	0.816740900048431	2339
79	0	1	0.9999621	0.0071407272	0	1	0.513	0.487	0.0868277473348406	0.913172252665159	2337
80	0	1	0.020574233	0.9973006	0	1	0.085	0.915	0.0044468438366165	0.995553156163383	2128
81	0	1	0.2870091	0.87933546	0	1	0.202	0.798	0.0660878469783915	0.933912153021608	2083
82	0	1	0.19195691	0.94482785	0	1	0.201	0.799	0.394220587895087	0.605779412104913	2027
