contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
127	0	1	0.11362266	0.9843236	0	1	0.345	0.655	0.5	0.5	152
128	1	0	0.98773515	0.70227677	0	1	0.327	0.673	0.5	0.5	141
129	1	0	0.99532425	0.10463495	0	1	0.321	0.679	0.5	0.5	134
130	0	1	0.041532975	0.9977245	0	1	0.279	0.721	0.5	0.5	133
131	1	0	0.97072697	0.10403651	0	1	0.416	0.584	0.5	0.5	133
132	1	0	0.46609837	0.8821701	0	1	0.355	0.645	0.5	0.5	132
133	1	0	0.97930515	0.17644668	0	1	0.405	0.595	0.5	0.5	131
134	1	0	0.98836756	0.12329009	0	1	0.421	0.579	0.5	0.5	130
135	0	1	0.046447463	0.99519956	0	1	0.297	0.703	0.5	0.5	129
136	1	0	0.9615591	0.11350623	0	1	0.393	0.607	0.5	0.5	129
137	0	1	0.04384363	0.99583197	0	1	0.369	0.631	0.5	0.5	124
138	0	1	0.037861872	0.9945192	0	1	0.397	0.603	0.5	0.5	113
139	0	1	0.03161728	0.9923748	0	1	0.294	0.706	0.5	0.5	110
140	1	0	0.54294634	0.7900515	0	1	0.381	0.619	0.5	0.5	109
141	0	1	0.025186067	0.9982134	0	1	0.396	0.604	0.5	0.5	102
142	1	0	0.23953974	0.9678834	0	1	0.401	0.599	0.5	0.5	100
143	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	82
144	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	82
145	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	79
146	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	79
147	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	76
148	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	76
149	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	73
150	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	72
