contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
196	0	1	0.8564236	0.31131905	0	1	0.201	0.799
197	1	0	0.11235457	0.98091215	0	1	0.246	0.754
198	0	1	0.028380383	0.99403393	0	1	0.226	0.774
199	0	1	0.102551095	0.9784745	0	1	0.198	0.802
200	1	0	0.18851124	0.95444894	0	1	0.326	0.674
201	0	1	0.058252033	0.98740953	0	1	0.281	0.719
202	0	1	0.17385401	0.93419373	0	1	0.259	0.741
203	0	1	0.18626422	0.93430567	0	1	0.249	0.751
204	1	0	0.022960521	0.9945642	0	1	0.273	0.727
205	0	1	0.32799065	0.83558667	0	1	0.246	0.754
206	0	1	0.12789595	0.9833587	0	1	0.264	0.736
207	0	1	0.5490049	0.9835019	0	1	0.336	0.664
208	1	0	0.049711123	0.9973699	0	1	0.257	0.743
209	1	0	0.012817599	0.9996337	0	1	0.392	0.608
210	0	1	0.011122984	0.9998151	0	1	0.327	0.673
211	0	1	0.051864266	0.9828695	0	1	0.159	0.841
212	0	1	0.084298864	0.98574007	0	1	0.147	0.853
213	0	1	0.26197118	0.8898501	0	1	0.158	0.842
214	0	1	0.727349	0.43719682	0	1	0.226	0.774
215	1	0	0.110759504	0.95237577	0	1	0.289	0.711
216	0	1	0.6495825	0.5245184	0	1	0.308	0.692
217	0	1	0.1136027	0.9848844	0	1	0.328	0.672
218	0	1	0.04723715	0.9974413	0	1	0.27	0.73
219	0	1	0.16926345	0.96362877	0	1	0.293	0.707
220	0	1	0.015815645	0.9971484	0	1	0.215	0.785
221	1	0	0.28644952	0.9432801	0	1	0.35	0.65
222	1	0	0.14729147	0.9855516	0	1	0.353	0.647
223	0	1	0.5772482	0.866043	0	1	0.348	0.652
224	0	1	0.12130165	0.9739121	0	1	0.291	0.709
225	0	1	0.25456464	0.8718129	0	1	0.204	0.796
226	0	1	0.009847381	0.9981924	0	1	0.251	0.749
227	1	0	0.22679844	0.9457562	0	1	0.18	0.82
228	0	1	0.27399325	0.9479975	0	1	0.286	0.714
229	0	1	0.7515267	0.46818206	0	1	0.313	0.687
230	0	1	0.07774116	0.9890168	0	1	0.42	0.58
231	0	1	0.06237396	0.9935571	0	1	0.38	0.62
232	1	0	0.1661571	0.9653686	0	1	0.424	0.576
233	0	1	0.17223543	0.97818935	0	1	0.296	0.704
234	0	1	0.091779314	0.981947	0	1	0.371	0.629
235	0	1	0.03375077	0.9976754	0	1	0.278	0.722
236	0	1	0.19623883	0.9049463	0	1	0.201	0.799
237	1	0	0.11804926	0.9913652	0	1	0.399	0.601
238	1	0	0.079789065	0.98840094	0	1	0.391	0.609
239	0	1	0.014128941	0.996677	0	1	0.418	0.582
240	0	1	0.060730685	0.9951354	0	1	0.282	0.718
241	0	1	0.76229525	0.4519998	0	1	0.371	0.629
242	1	0	0.036378443	0.99872804	0	1	0.361	0.639
243	0	1	0.16892336	0.9756238	0	1	0.296	0.704
244	0	1	0.2242367	0.88604856	0	1	0.355	0.645
245	0	1	0.31628552	0.85689926	0	1	0.288	0.712
246	0	1	0.3969191	0.8635234	0	1	0.296	0.704
247	0	1	0.54227173	0.70185745	0	1	0.303	0.697
248	1	0	0.15933813	0.98018026	0	1	0.371	0.629
249	1	0	0.04205269	0.99885607	0	1	0.165	0.835
250	1	0	0.008241036	0.99982464	0	1	0.365	0.635
251	0	1	0.107765235	0.9552003	0	1	0.305	0.695
252	0	1	0.11253146	0.95293075	0	1	0.317	0.683
253	0	1	0.051744558	0.9928278	0	1	0.18	0.82
254	1	0	0.5088444	0.84804654	0	1	0.34	0.66
255	1	0	0.34628302	0.9316755	0	1	0.354	0.646
256	0	1	0.008932501	0.9997259	0	1	0.259	0.741
257	0	1	0.102685355	0.978219	0	1	0.382	0.618
258	0	1	0.1013171	0.9845514	0	1	0.236	0.764
259	1	0	0.3936687	0.9203397	0	1	0.345	0.655
260	0	1	0.027002383	0.9977871	0	1	0.321	0.679
261	0	1	0.11797014	0.9820192	0	1	0.337	0.663
262	0	1	0.048490644	0.9876442	0	1	0.284	0.716
263	0	1	0.6458353	0.6765527	0	1	0.298	0.702
264	1	0	0.20529723	0.9357861	0	1	0.253	0.747
265	0	1	0.35874262	0.9041981	0	1	0.37	0.63
266	1	0	0.7998989	0.7553507	0	1	0.396	0.604
267	0	1	0.71975064	0.6399684	0	1	0.297	0.703
268	0	1	0.011829178	0.9976666	0	1	0.415	0.585
269	1	0	0.6770377	0.7388673	0	1	0.316	0.684
270	1	0	0.8179091	0.4259244	0	1	0.404	0.596
271	0	1	0.5330925	0.7674615	0	1	0.38	0.62
272	1	0	0.6718715	0.8483084	0	1	0.343	0.657
273	1	0	0.7089733	0.92716813	0	1	0.399	0.601
274	0	1	0.04291129	0.99673176	0	1	0.388	0.612
275	1	0	0.32549623	0.9379809	0	1	0.287	0.713
276	1	0	0.3228186	0.8974209	0	1	0.353	0.647
277	1	0	0.29850173	0.89678586	0	1	0.365	0.635
278	0	1	0.5881151	0.7317352	0	1	0.394	0.606
279	0	1	0.2305214	0.9309447	0	1	0.288	0.712
280	0	1	0.43640444	0.80136675	0	1	0.359	0.641
281	1	0	0.7984434	0.9871528	0	1	0.351	0.649
282	0	1	0.734381	0.68063956	0	1	0.314	0.686
283	0	1	0.049024362	0.99705255	0	1	0.326	0.674
284	1	0	0.3669372	0.9191363	0	1	0.415	0.585
285	0	1	0.016206553	0.9996011	0	1	0.312	0.688
286	0	1	0.6784802	0.7229958	0	1	0.325	0.675
287	0	1	0.09613795	0.9633205	0	1	0.344	0.656
288	0	1	0.080599226	0.9707072	0	1	0.317	0.683
289	1	0	0.005556702	0.99989057	0	1	0.326	0.674
290	0	1	0.7321327	0.6742356	0	1	0.316	0.684
291	1	0	0.28679103	0.93757176	0	1	0.343	0.657
292	0	1	0.15063523	0.96933174	0	1	0.363	0.637
293	0	1	0.06950273	0.9924323	0	1	0.342	0.658
294	1	0	0.7140881	0.62798345	0	1	0.313	0.687
295	0	1	0.074647255	0.99405146	0	1	0.317	0.683
296	1	0	0.9142449	0.8618978	0	1	0.362	0.638
297	1	0	0.5975613	0.6530831	0	1	0.297	0.703
298	0	1	0.091981314	0.9909703	0	1	0.335	0.665
299	1	0	0.6104226	0.6242235	0	1	0.273	0.727
300	1	0	0.24568246	0.9656598	0	1	0.327	0.673
301	0	1	0.043240223	0.9961773	0	1	0.362	0.638
302	0	1	0.077683076	0.9795475	0	1	0.256	0.744
303	0	1	0.08673742	0.96767324	0	1	0.376	0.624
304	0	1	0.08296232	0.9685849	0	1	0.362	0.638
305	0	1	0.040795073	0.9963299	0	1	0.327	0.673
306	0	1	0.27166322	0.86285627	0	1	0.225	0.775
307	1	0	0.21710971	0.9751476	0	1	0.27	0.73
308	0	1	0.08848791	0.991288	0	1	0.327	0.673
309	0	1	0.06741789	0.99421734	0	1	0.295	0.705
310	1	0	0.20823021	0.9639623	0	1	0.391	0.609
311	0	1	0.08113731	0.99511987	0	1	0.271	0.729
312	0	1	0.11585794	0.9878794	0	1	0.294	0.706
313	1	0	0.19477715	0.918115	0	1	0.418	0.582
314	1	0	0.19376853	0.9192383	0	1	0.405	0.595
315	0	1	0.3295154	0.8880976	0	1	0.384	0.616
316	1	0	0.15536499	0.9748628	0	1	0.289	0.711
317	1	0	0.16165431	0.9777688	0	1	0.404	0.596
318	0	1	0.88435507	0.38960615	0	1	0.39	0.61
319	0	1	0.14011766	0.9799818	0	1	0.318	0.682
320	1	0	0.695967	0.66757125	0	1	0.326	0.674
321	0	1	0.05801306	0.9956388	0	1	0.362	0.638
322	1	0	0.026073365	0.99947053	0	1	0.382	0.618
323	0	1	0.084718995	0.9859967	0	1	0.351	0.649
324	1	0	0.023577062	0.999658	0	1	0.329	0.671
325	1	0	0.124342464	0.97549975	0	1	0.321	0.679
326	0	1	0.3895018	0.8623195	0	1	0.375	0.625
327	0	1	0.09944363	0.9775692	0	1	0.365	0.635
328	0	1	0.287222	0.95293707	0	1	0.311	0.689
329	0	1	0.61075073	0.95165807	0	1	0.413	0.587
330	0	1	0.01615286	0.9968556	0	1	0.265	0.735
331	0	1	0.35147333	0.8828409	0	1	0.339	0.661
332	1	0	0.85484064	0.9700539	0	1	0.345	0.655
333	0	1	0.20834087	0.9422436	0	1	0.326	0.674
334	0	1	0.17534563	0.9722216	0	1	0.437	0.563
335	0	1	0.0970839	0.9749565	0	1	0.349	0.651
336	0	1	0.37867332	0.8335663	0	1	0.377	0.623
337	0	1	0.0980873	0.9666426	0	1	0.368	0.632
338	1	0	0.7530401	0.8917235	0	1	0.518	0.482
339	0	1	0.08201503	0.97661287	0	1	0.322	0.678
340	0	1	0.4009318	0.8146349	0	1	0.378	0.622
341	0	1	0.27785113	0.93471193	0	1	0.449	0.551
342	0	1	0.0044320635	0.9995066	0	1	0.371	0.629
343	0	1	0.005398338	0.9995153	0	1	0.374	0.626
344	1	0	0.95731086	0.18386419	0	1	0.48	0.52
345	1	0	0.96640325	0.14314553	0	1	0.389	0.611
346	0	1	0.056379315	0.9883049	0	1	0.363	0.637
347	0	1	0.052926492	0.9884276	0	1	0.333	0.667
348	1	0	0.8299446	0.49335572	0	1	0.421	0.579
349	0	1	0.047357563	0.9959465	0	1	0.369	0.631
350	0	1	0.55040085	0.9774405	0	1	0.315	0.685
351	1	0	0.0896862	0.98692703	0	1	0.246	0.754
352	0	1	0.09337563	0.9813135	0	1	0.352	0.648
353	0	1	0.082236975	0.9874964	0	1	0.318	0.682
354	0	1	0.07756333	0.9878024	0	1	0.317	0.683
355	0	1	0.11898226	0.9736638	0	1	0.343	0.657
356	1	0	0.16696647	0.9640707	0	1	0.334	0.666
357	1	0	0.17931111	0.9699934	0	1	0.335	0.665
358	1	0	0.07172807	0.99723744	0	1	0.303	0.697
359	1	0	0.011814482	0.99988854	0	1	0.364	0.636
360	0	1	0.06304179	0.987053	0	1	0.303	0.697
361	0	1	0.055094548	0.9952527	0	1	0.346	0.654
362	1	0	0.9104209	0.64818573	0	1	0.435	0.565
363	0	1	0.11896343	0.9452617	0	1	0.428	0.572
364	1	0	0.1231191	0.9445299	0	1	0.43	0.57
365	0	1	0.03896316	0.9957081	0	1	0.343	0.657
366	1	0	0.0055623557	0.99963427	0	1	0.327	0.673
367	1	0	0.12559463	0.98116124	0	1	0.375	0.625
368	1	0	0.124910794	0.97881687	0	1	0.377	0.623
369	1	0	0.0056012613	0.99963486	0	1	0.326	0.674
370	0	1	0.22525468	0.90983605	0	1	0.316	0.684
371	0	1	0.29306114	0.9055609	0	1	0.325	0.675
372	0	1	0.65750074	0.53844535	0	1	0.392	0.608
373	0	1	0.65781283	0.53859735	0	1	0.393	0.607
374	0	1	0.65684056	0.5389924	0	1	0.375	0.625
375	0	1	0.18021737	0.9573903	0	1	0.368	0.632
376	0	1	0.17566246	0.9558202	0	1	0.368	0.632
377	0	1	0.17593233	0.96064615	0	1	0.304	0.696
378	1	0	0.06442428	0.99210584	0	1	0.419	0.581
379	1	0	0.06029341	0.99353063	0	1	0.408	0.592
380	1	0	0.9363935	0.17044953	0	1	0.387	0.613
381	1	0	0.97282827	0.22499074	0	1	0.428	0.572
382	0	1	0.24937142	0.9260684	0	1	0.41	0.59
383	1	0	0.80801755	0.89876354	0	1	0.394	0.606
384	0	1	0.5	0.5	0	1	0.5	0.5
385	1	0	0.5	0.5	0	1	0.5	0.5
386	0	1	0.5	0.5	0	1	0.5	0.5
387	0	1	0.5	0.5	0	1	0.5	0.5
388	0	1	0.5	0.5	0	1	0.5	0.5
389	0	1	0.5	0.5	0	1	0.5	0.5
390	0	1	0.5	0.5	0	1	0.5	0.5
391	0	1	0.5	0.5	0	1	0.5	0.5
392	0	1	0.5	0.5	0	1	0.5	0.5
393	0	1	0.5	0.5	0	1	0.5	0.5
394	0	1	0.5	0.5	0	1	0.5	0.5
395	1	0	0.5	0.5	0	1	0.5	0.5
396	0	1	0.5	0.5	0	1	0.5	0.5
397	0	1	0.5	0.5	0	1	0.5	0.5
398	0	1	0.5	0.5	0	1	0.5	0.5
399	0	1	0.5	0.5	0	1	0.5	0.5
400	1	0	0.5	0.5	0	1	0.5	0.5
401	0	1	0.5	0.5	0	1	0.5	0.5
402	1	0	0.5	0.5	0	1	0.5	0.5
403	0	1	0.5	0.5	0	1	0.5	0.5
404	0	1	0.5	0.5	0	1	0.5	0.5
405	1	0	0.5	0.5	0	1	0.5	0.5
406	1	0	0.5	0.5	0	1	0.5	0.5
407	0	1	0.5	0.5	0	1	0.5	0.5
408	1	0	0.5	0.5	0	1	0.5	0.5
409	0	1	0.5	0.5	0	1	0.5	0.5
410	1	0	0.5	0.5	0	1	0.5	0.5
411	1	0	0.5	0.5	0	1	0.5	0.5
412	0	1	0.5	0.5	0	1	0.5	0.5
413	0	1	0.5	0.5	0	1	0.5	0.5
414	1	0	0.5	0.5	0	1	0.5	0.5
415	1	0	0.5	0.5	0	1	0.5	0.5
416	1	0	0.5	0.5	0	1	0.5	0.5
417	1	0	0.5	0.5	0	1	0.5	0.5
418	0	1	0.5	0.5	0	1	0.5	0.5
419	0	1	0.5	0.5	0	1	0.5	0.5
420	0	1	0.5	0.5	0	1	0.5	0.5
421	0	1	0.5	0.5	0	1	0.5	0.5
422	0	1	0.5	0.5	0	1	0.5	0.5
423	0	1	0.5	0.5	0	1	0.5	0.5
424	0	1	0.5	0.5	0	1	0.5	0.5
425	0	1	0.5	0.5	0	1	0.5	0.5
426	1	0	0.5	0.5	0	1	0.5	0.5
427	1	0	0.5	0.5	0	1	0.5	0.5
428	1	0	0.5	0.5	0	1	0.5	0.5
429	0	1	0.5	0.5	0	1	0.5	0.5
430	0	1	0.5	0.5	0	1	0.5	0.5
431	0	1	0.5	0.5	0	1	0.5	0.5
432	0	1	0.5	0.5	0	1	0.5	0.5
433	0	1	0.5	0.5	0	1	0.5	0.5
434	1	0	0.5	0.5	0	1	0.5	0.5
435	1	0	0.5	0.5	0	1	0.5	0.5
436	1	0	0.5	0.5	0	1	0.5	0.5
437	0	1	0.5	0.5	0	1	0.5	0.5
438	1	0	0.5	0.5	0	1	0.5	0.5
439	0	1	0.5	0.5	0	1	0.5	0.5
440	0	1	0.5	0.5	0	1	0.5	0.5
441	0	1	0.5	0.5	0	1	0.5	0.5
442	1	0	0.5	0.5	0	1	0.5	0.5
443	1	0	0.5	0.5	0	1	0.5	0.5
444	1	0	0.5	0.5	0	1	0.5	0.5
445	0	1	0.5	0.5	0	1	0.5	0.5
446	0	1	0.5	0.5	0	1	0.5	0.5
447	0	1	0.5	0.5	0	1	0.5	0.5
448	1	0	0.5	0.5	0	1	0.5	0.5
449	1	0	0.5	0.5	0	1	0.5	0.5
450	0	1	0.5	0.5	0	1	0.5	0.5
451	1	0	0.5	0.5	0	1	0.5	0.5
452	0	1	0.5	0.5	0	1	0.5	0.5
453	0	1	0.5	0.5	0	1	0.5	0.5
454	0	1	0.5	0.5	0	1	0.5	0.5
455	0	1	0.5	0.5	0	1	0.5	0.5
456	0	1	0.5	0.5	0	1	0.5	0.5
457	0	1	0.5	0.5	0	1	0.5	0.5
458	0	1	0.5	0.5	0	1	0.5	0.5
459	0	1	0.5	0.5	0	1	0.5	0.5
460	0	1	0.5	0.5	0	1	0.5	0.5
461	0	1	0.5	0.5	0	1	0.5	0.5
462	0	1	0.5	0.5	0	1	0.5	0.5
463	0	1	0.5	0.5	0	1	0.5	0.5
464	0	1	0.5	0.5	0	1	0.5	0.5
465	0	1	0.5	0.5	0	1	0.5	0.5
466	0	1	0.5	0.5	0	1	0.5	0.5
467	0	1	0.5	0.5	0	1	0.5	0.5
468	0	1	0.5	0.5	0	1	0.5	0.5
469	0	1	0.5	0.5	0	1	0.5	0.5
470	0	1	0.5	0.5	0	1	0.5	0.5
471	0	1	0.5	0.5	0	1	0.5	0.5
